Program_Degree_Name,Program_Format,Dual_Degree,Dual_Name,Dual_Id,Program_Id,No. of semesters,Include_Summer,StudentGroups,Code,Notes on Semesters,Original sequence
Master of Science in Supply Chain Management,Full Time,No,,,1000040101010,3,No,"MS in Supply Chain Management - Seeking Internships,MS in Supply Chain Management - New students",BMSC,"Some students complete in 2 semesters, but we initially assume 3.",61
Master of Science in Supply Chain Management,,No,,,1000040101010,3,No,"MS in Supply Chain Management - Seeking Internships,MS in Supply Chain Management - New students",BMSC,"Some students complete in 2 semesters, but we initially assume 3.",76
MBA,Full Time,No,,,1000040101001,4,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMBA,,13
MBA,Part Time Flex,No,,,1000040101012,6,Yes,Flex MBA - Current students,BMBA,"Default to 6 semesters.  In practice, it can be more or less, and varies widely.",35
MBA,Online,No,,,1000040101011,6,Yes,Online MBA - Current students,OMBA,"Default to 4 semesters.  In practice, it can be more.",31
MBA and Doctor of Medicine (Dual Degree),Full Time,Yes,DM (Doctor of Medicine),140048010110209,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",,,94
MBA and Doctor of Medicine (Dual Degree),Part Time Flex,Yes,DM (Doctor of Medicine),140048010110209,1000040101012,8,Yes,"Full-time MBA - Seeking Internships,Full-time MBA - New students",,,106
MBA and Juris Doctorate (Dual Degree),Full Time,Yes,JD,10000401010001,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",LMBA,,102
MBA and Juris Doctorate (Dual Degree),Part Time Flex,Yes,JD,10000401010001,1000040101012,8,Yes,"Full-time MBA - Seeking Internships,Full-time MBA - New students",LMBA,,111
MBA and Masters in Nursing (Dual Degree),Full Time,Yes,MSN (Health Services),140048010110026,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BNRS,,103
MBA and Masters in Nursing (Dual Degree),Part Time Flex,Yes,MSN (Health Services),140048010110026,1000040101012,8,No,Flex MBA - Current students,BNRS,,112
MBA and Masters in Public Policy (Dual Degree),Full Time,Yes,MPP,10000401010002,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMPO,,104
MBA and Masters in Public Policy (Dual Degree),Part Time Flex,Yes,MPP,10000401010002,1000040101012,8,Yes,Flex MBA - Current students,BMPO,,113
MBA and MS in Accounting (Dual Degree),Full Time,Yes,MS in Accounting,140048010110017,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Accounting - Seeking Internships,MS in Accounting - New students",BAAC,,105
MBA and MS in Accounting (Dual Degree),Part Time Flex,Yes,MS in Accounting,140048010110017,1000040101012,8,Yes,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Accounting - Seeking Internships,MS in Accounting - New students",BAAC,,114
